Log File ID,Node ID,X Coord,Y Coord,Distance,SF
log1,0,225.300000,210.000000,15.300,7
log1,1,240.600000,210.000000,30.600,7
log1,2,255.900000,210.000000,45.900,7
log1,3,271.200000,210.000000,61.200,7
log1,4,286.500000,210.000000,76.500,7
log1,5,102.485349,144.299164,126.000,8
log1,6,317.100000,210.000000,107.100,7
log1,7,332.400000,210.000000,122.400,8
log1,8,347.700000,210.000000,137.700,8
log1,9,363.000000,210.000000,153.000,9
log1,10,378.300000,210.000000,168.300,9
log1,11,393.600000,210.000000,183.600,9
log1,12,408.900000,210.000000,198.900,9
